PERMIT NUMBER,OWNER NAME,OPERATING NAME,STREET,CITY,STATE,ZIP,COUNTY,Latitude,Longitude
CA-W-685,"DOMAINE CHANDON, INC.",DOMAINE CHANDON,1 CALIFORNIA DR,YOUNTVILLE,CA,94599,NAPA,38.397359,-122.3645418
CA-W-23853,VAN ZYL FAMILY LLC DBA BELONG WINE CO.,BELONG WINE CO.,1 EXECUTIVE WAY,NAPA,CA,94558,NAPA,38.2239412,-122.2567435
CA-W-23498,PERSON WINE LLC,PERSON WINE COMPANY,1 EXECUTIVE WAY,NAPA,CA,94558,NAPA,38.2239412,-122.2567435
CA-W-2646,"GEORGE ALTAMURA, SR.",STRACK VINEYARD,1 EXECUTIVE WAY,NAPA,CA,94558,NAPA,38.2239412,-122.2567435
CA-W-23687,HANABI LAGER COMPANY LLC,LANDLORD SAILOR,1 EXECUTIVE WAY BLDG 1,NAPA,CA,94558,NAPA,38.2239412,-122.2567435
CA-W-23996,"PETER PAUL WINES, LLC",PETER PAUL WINES,1 EXECUTIVE WAY BLDG 1 & 2,NAPA,CA,94558,NAPA,38.2239412,-122.2567435
CA-W-17626,RANG DONG JOINT STOCK COMPANY,RD WINERY,1 EXECUTIVE WAY BLDG 1 & 2,NAPA,CA,94558,NAPA,38.2239412,-122.2567435
CA-W-21899,GOLD COUNTRY ENTERPRISES LLC,VINO GODFATHER,1 EXECUTIVE WAY BLDG 1 & 2,NAPA,CA,94558,NAPA,38.2239412,-122.2567435
CA-W-23751,"MOUNTAIN VIEW VINTNERS, LLC",BACKSTAGE WINERY,1 EXECUTIVE WAY BLDG 1 AND 2,NAPA,CA,94558,NAPA,38.2239412,-122.2567435
CA-W-22911,"HIDDEN RIDGE VINEYARD, LLC",IMMORTAL ESTATE,"1 EXECUTIVE WAY BLDG 1, 2 & 3",NAPA,CA,94558,NAPA,38.2239412,-122.2567435
CA-W-22590,CAL POLY CORPORATION,CAL POLY,1 GRAND AVE,SAN LUIS OBISPO,CA,93407,SAN LUIS OBISPO,35.3048767,-120.6572655
CA-W-23924,CAL POLY CORPORATION,JUSTIN AND J. LOHR CENTER FOR WINE AND VITICULTURE,1 GRAND AVE BLDG 157 & 158,SAN LUIS OBISPO,CA,93407,SAN LUIS OBISPO,35.3011339,-120.658758
CA-W-23707,JASON ROBIDEAUX,HAMDOG WINE COMPANY,1 HUMMINGBIRD LN,SAN MARTIN,CA,95046,,37.0729559,-121.6432387
CA-W-17313,TODD HERSCHEL THEDINGA,REAL DOGS WINE,1 HUMMINGBIRD LN,SAN MARTIN,CA,95046,SANTA CLARA,37.0729559,-121.6432387
CA-W-22733,"LAIRD FAMILY ESTATE, LLC",SUNRISE RANCH WINERY,1 KIRKLAND RANCH RD,AMERICAN CANYON,CA,94503,NAPA,38.2196508,-122.2292263
CA-W-23560,"BONNEAU WINERY, LLC",BONNEAU WINERY,1 MERITAGE LN,WALNUT CREEK,CA,94598,CONTRA COSTA,37.9077584,-121.9952562
CA-W-15539,"SHADOWBROOK WINERY, LLC",SHADOWBROOK WINERY,1 MERITAGE LN,WALNUT CREEK,CA,94598,CONTRA COSTA,37.9077584,-121.9952562
CA-W-3447,RANDALL JOHN MEREDITH,MEREDITH FAMILY VINEYARDS,"1 MILE NORTHEAST OF HYAMPOM P. O., END O",HYAMPOM,CA,96046,TRINITY,40.6173635,-123.4525362
CA-W-17670,WOODSIDE FARM VINEYARD LLC,WOODSIDE FARM VINEYARD,1 VINTAGE CT,WOODSIDE,CA,94062,SAN MATEO,37.4072245,-122.2510094
CA-W-3363,LASSETER FAMILY WINERY LLC,LASSETER FAMILY WINERY,1 VINTAGE LN,GLEN ELLEN,CA,95442,SONOMA,38.3830815,-122.5245173
