PERMIT NUMBER,OWNER NAME,OPERATING NAME,STREET,CITY,STATE,ZIP,COUNTY,Latitude,Longitude,Merge_Name
CA-W-3207,"VINEYARD 29, LLC",VINEYARD 29 CELLARS,2929 SAINT HELENA HWY,SAINT HELENA,CA,94574,NAPA,38.5213317,-122.4937408,VINEYARD 29
CA-W-17576,"VINEYARD 511, LLC",VINEYARD 511,25 ENTERPRISES CT STE 4-8,NAPA,CA,94558,NAPA,38.2602811,-122.274699,VINEYARD 511
CA-W-20149,ESTATE 1856 WINES LLC,ESTATE 1856 WINES,2859 DRY CREEK RD,HEALDSBURG,CA,95448,SONOMA,38.6504931,-122.912024,ESTATE 1856
CA-W-17198,MURPHY VINEYARDS LLC,4001 CELLARS,4001 HIGHWAY 128,GEYSERVILLE,CA,95441,SONOMA,38.6886052,-122.8489052,4001
CA-W-15727,"STEFFENS FAMILY WINES, LLC",VINEYARD 7 & 8,4028 SPRING MOUNTAIN RD,SAINT HELENA,CA,94574,NAPA,38.5261441,-122.5525644,VINEYARD 7 & 8
CA-W-21174,"VIGNETTE WINERY, LLC",WINE FOUNDRY,"45 ENTERPRISE CT UNIT 1,2,3,4,7",NAPA,CA,94558,NAPA,38.260461,-122.2739179,WINE FOUNDRY
CA-W-15037,"THE WINE GARAGE, INC.",WINE GARAGE,1020 UNIT C FOOTHILL BLVD,CALISTOGA,CA,94515,NAPA,38.575234,-122.5796045,WINE GARAGE
CA-W-22100,"RAILLA ESTATES WINES, LLC",WINE GUERILLA,2064 GRAVENSTEIN HWY NORTH,SEBASTOPOL,CA,95472,SONOMA,38.4244389,-122.8481434,WINE GUERILLA
CA-W-22334,"VINEYARD OF D & G PASTERICK, LLC",VINEYARD OF PASTERICK,3491 W DRY CREEK RD,HEALDSBURG,CA,95448,SONOMA,38.6431222,-122.9177757,VINEYARD OF PASTERICK
CA-W-16869,"WINE OF THE MONTH CLUB, INC.",WINE OF THE MONTH CELLARS,980 AIRWAY CT SUITES A-F,SANTA ROSA,CA,95403,SONOMA,38.4743354,-122.7355428,WINE OF THE MONTH
CA-W-17401,"WWRD, INC.",WINES WEST,1160 HOPPER AVE,SANTA ROSA,CA,95403,SONOMA,38.4787228,-122.7408096,WINES WEST
CA-W-16607,"1-800-WINESHOP.COM, INC.",1-800-WINESHOP,2545 NAPA VALLEY CORPORATE DR STE C,NAPA,CA,94558,NAPA,38.2539682,-122.2761996,1-800-WINESHOP
CA-W-15480,"1-800-WINESHOP.COM, INC.",1-800-WINESHOP,560 TECHNOLOGY WAY,NAPA,CA,94558,NAPA,38.2222595,-122.2716804,1-800-WINESHOP
CA-W-15389,JAMES KELLOGG WHEAT,29 SONGS,716 LIPARITA RD,ANGWIN,CA,94508,NAPA,38.5748388,-122.4636638,29 SONGS
CA-W-23263,3 BADGE BEVERAGE CORPORATION,3 BADGE BEVERAGE,22097 BONNESS RD BLDG A & B,SONOMA,CA,95476,SONOMA,38.241682,-122.480983,3 BADGE BEVERAGE
CA-W-21119,MASCARIN FAMILY ESTATES LLC,32 WINDS WINE,1160 HOPPER AVE,SANTA ROSA,CA,95403,SONOMA,38.4787228,-122.7408096,32 WINDS
CA-W-23668,"70S LOVE, LLC",70S LOVE,4105 CHILES POPE VALLEY RD,ST HELENA,CA,94574,NAPA,38.5579708,-122.3749973,70S LOVE
CA-W-22766,ERIC & DONNA LYMAN,A GHOST OF A CHANCE,2332 SILVERADO TRL,NAPA,CA,94558,NAPA,38.3393813,-122.2797882,A GHOST OF A CHANCE
CA-W-17155,A. FAUSTINI WINES LLC,A. FAUSTINI WINES,5055 SOLANO AVE,NAPA,CA,94558,NAPA,38.3523381,-122.3348428,A. FAUSTINI
CA-W-21950,TORANO FAMILY VINEYARDS,A. TORANO FAMILY WINES,1160 HOPPER AVE,SANTA ROSA,CA,95403,SONOMA,38.4787228,-122.7408096,A. TORANO
CA-W-23741,"ECHO ECHO, LLC",ABBOT'S PASSAGE WINERY & MERCANTILE,777 MADRONE RD,GLEN ELLEN,CA,95442,SONOMA,38.3409379,-122.50651,ABBOT'S PASSAGE & MERCANTILE
CA-W-2835,"ABREU VINEYARDS, INC.",ABREU VINEYARD,1451 YOUNTVILLE CROSSROAD,YOUNTVILLE,CA,94599,NAPA,38.4237538,-122.3454952,ABREU
CA-W-21863,"PUAMANA, LLC",ACCENDO CELLARS,335 WEST LN,ANGWIN,CA,94508,NAPA,38.5635302,-122.4655433,ACCENDO
CA-W-22485,"PUAMANA, LLC",ACCENDO CELLARS,588 ZINFANDEL LN,SAINT HELENA,CA,94574,NAPA,38.487409,-122.437755,ACCENDO
CA-W-22907,ACHESON WINES LLC,ACHESON WINES,2747 NAPA VALLEY CORPORATE DR,NAPA,CA,94558,NAPA,38.248487,-122.275618,ACHESON
CA-W-15351,"ACKERMAN FAMILY VINEYARDS, LLC",ACKERMAN FAMILY,24 BLUE OAK LN,NAPA,CA,94558,NAPA,38.3150158,-122.2331711,ACKERMAN
CA-W-2195,ACORN ALEGRIA WINERY,ACORN ALEGRIA WINERY,1290 DRY CREEK RD,HEALDSBURG,CA,95448,SONOMA,38.6326374,-122.8951478,ACORN ALEGRIA
CA-W-22949,"OLD LODGE, LLC",ACRE WINES,7830 40 ST. HELENA HWY,OAKVILLE,CA,94562,NAPA,38.43666,-122.4020388,ACRE
CA-W-21454,MOUNTAIN PEAK VINEYARDS LLC,ACUMEN,1044 LOS CARNEROS AVE,NAPA,CA,94559,NAPA,38.2532543,-122.3308443,ACUMEN
CA-W-22207,"CHRIS PHELPS WINES, LLC",AD VIVUM,1155 MEE LN,RUTHERFORD,CA,94573,NAPA,38.4706119,-122.4291175,AD VIVUM
CA-W-2997,RONALD G. AND SUSAN E. ADAMS,ADAMS RIDGE,3181 KINGSTON AVE,NAPA,CA,94558,NAPA,38.306582,-122.3208051,ADAMS RIDGE
