PERMIT NUMBER,OWNER NAME,OPERATING NAME,STREET,CITY,STATE,ZIP,COUNTY
CA-W-22233,"D'VINE INTERVENTION, LLC",D'VINE INTERVENTION,110 DODD CT,AMERICAN CANYON,CA,94503,NAPA
CA-W-15806,DEAN THOMAS HART,RIGART GARAGE WINERY,89 DONALDSON WAY,AMERICAN CANYON,CA,94503,NAPA
CA-W-23218,FOUR BEARS WINERY LLC,FOUR BEARS WINERY,205 JIM OSWALT WAY STE A,AMERICAN CANYON,CA,94503,NAPA
CA-W-23711,HOVERING HAWK LLC,,100 NAPA JUNCTION RD,AMERICAN CANYON,CA,95403,NAPA
CA-W-22809,"INFINITY BOTTLING, LLC",,677 HANNA DR STE B,AMERICAN CANYON,CA,94503,NAPA
CA-W-22733,"LAIRD FAMILY ESTATE, LLC",SUNRISE RANCH WINERY,1 KIRKLAND RANCH RD,AMERICAN CANYON,CA,94503,NAPA
CA-W-16147,MAS WINE COMPANY LLC,MAS WINE CO.,205 JIM OSWALT WAY SUITE A,AMERICAN CANYON,CA,94503,NAPA
CA-W-21353,"MIOCENE WINE, LLC",NAPA JUNCTION CUSTOM CRUSH,100 NAPA JUNCTION RD,AMERICAN CANYON,CA,94503,NAPA
CA-W-23253,"NAKEDWINES.COM, INC.","NAKEDWINES.COM, INC.",677 HANNA DR STE B,AMERICAN CANYON,CA,94503,NAPA
CA-W-22810,POPCORN DESIGN LLC,PROSPECT BRANDS,677 HANNA DR STE B,AMERICAN CANYON,CA,94503,NAPA
CA-W-24071,PRESTIGE WORLDWIDE WINE COMPANY LLC,INFINITY BOTTLING,677 HANNA DR,AMERICAN CANYON,CA,94503,NAPA
CA-W-22301,"ROOTS RUN DEEP, LLC",,1 KIRKLAND RANCH RD,AMERICAN CANYON,CA,94503,NAPA
CA-W-3424,THE HESS COLLECTION WINERY,,1166 COMMERCE BLVD,AMERICAN CANYON,CA,94503,NAPA
CA-W-24025,"WARROOM VENTURES, LLC",WARROOM CELLARS,677 HANNA DR STE B,AMERICAN CANYON,CA,94503,NAPA
CA-W-20293,"WORLD'S END, LLC",WORLD'S END,100 NAPA JUNCTION RD,AMERICAN CANYON,CA,94503,NAPA
CA-W-17717,"PLATA WINE PARTNERS, LLC",,677 HANNA DR SUITE B,AMERICAN CYN,CA,94503,NAPA
CA-W-17810,"WINERY EXCHANGE, INC.",,1 KIRKLAND RNCH,AMERICAN CYN,CA,94503,NAPA
CA-W-16564,"ADAMVS, LLC",ADAMVS,555 COLLEGE AVE,ANGWIN,CA,94508,NAPA
CA-W-20382,AHA PARTNERS LLC,MEMENTO MORI,335 WEST LN,ANGWIN,CA,94508,NAPA
CA-W-22109,"AMB WINE CELLARS, LLC",AMB WINE CELLARS,335 WEST LN,ANGWIN,CA,94508,NAPA
CA-W-16476,"ARKENSTONE VINEYARDS, LLC",ARKENSTONE VINEYARDS,335 WEST LN,ANGWIN,CA,94508,NAPA
CA-W-21580,"AS VINEYARDS, LLC",SODHANI WINERY,2075 SUMMIT LAKE DR,ANGWIN,CA,94508,NAPA
CA-W-22756,BEATTY WINES LLC,,2000 SUMMIT LAKE DR,ANGWIN,CA,94508,NAPA
CA-W-22177,"BLACK SEARS ESTATE WINES, LLC",BLACK SEARS,2075 SUMMIT LAKE DR,ANGWIN,CA,94508,NAPA
CA-W-22926,"BLANTON FAMILY VINEYARDS, LLC",SELAH WINES,2075 SUMMIT LAKE DR,ANGWIN,CA,94508,NAPA
CA-W-16653,"BLUE HALL, LLC",BLUE HALL VINEYARD,994 WHITE COTTAGE RD,ANGWIN,CA,94508,NAPA
CA-W-2937,"CHIARELLO FAMILY VINEYARDS, LLC",CHIARELLO FAMILY VINEYARDS,2075 SUMMIT LAKE DR,ANGWIN,CA,94508,NAPA
CA-W-16973,"CORNELL FARMS, LLC",CORNELL FARMS,335 WEST LN,ANGWIN,CA,94508,NAPA
CA-W-23894,"CROSSED ARROWS WINE, LLC",COVEY & LINN WINE,2000 SUMMIT LAKE DR,ANGWIN,CA,94508,NAPA
CA-W-3084,"DIAMOND TERRACE VINEYARDS, LLC",DIAMOND TERRACE,2075 SUMMIT LAKE DR,ANGWIN,CA,94508,NAPA
CA-W-20010,DIAMOND VINE LLC,PADIS VINEYARDS,1300 SUMMIT LAKE DR,ANGWIN,CA,94508,NAPA
CA-W-21676,DREAM SIECKERS LLC,,994 WHITE COTTAGE RD N,ANGWIN,CA,94508,NAPA
CA-W-1159,"DUNN VINEYARDS, LLC",,805 WHITE COTTAGE RD,ANGWIN,CA,94508,NAPA
CA-W-22653,"DUTCH CANYON, LLC",HEIMARK FAMILY VINEYARD,335 WEST LN,ANGWIN,CA,94508,NAPA
CA-W-2782,DYER STRAITS WINE COMPANY LLC,DYER STRAITS WINE COMPANY,335 W LANE,ANGWIN,CA,94508,NAPA
CA-W-22543,FAIRCHILD NAPA VALLEY LLC,FAIRCHILD NAPA VALLEY,335 WEST LN,ANGWIN,CA,94508,NAPA
CA-W-21197,"HEIBEL RANCH VINEYARDS, LLC",HEIBEL RANCH VINEYARDS,2000 SUMMIT LAKE DR,ANGWIN,CA,94508,NAPA
CA-W-15943,"HOWELL MOUNTAIN VINEYARD COMPANY, LLC",BRAVANTE VINEYARDS,330 STONERIDGE RD,ANGWIN,CA,94508,NAPA
CA-W-17370,"J. PETERSON FAMILY WINE COMPANY, LLC",SWITCHBACK RIDGE,1300 SUMMIT LAKE DR,ANGWIN,CA,94508,NAPA
CA-W-16493,"JACKSON FAMILY WINES, INC.",LA JOTA WINERY,1102 LAS POSADAS RD,ANGWIN,CA,94508,NAPA
CA-W-15389,JAMES KELLOGG WHEAT,29 SONGS,716 LIPARITA RD,ANGWIN,CA,94508,NAPA
CA-W-23690,JENNAMARISE WINES LLC,JENNAMARISE WINES,1300 SUMMIT LAKE DR,ANGWIN,CA,94508,NAPA
CA-W-23506,JONATHAN M. JONES,PARAVEL WINES,994 N WHITE COTTAGE LN,ANGWIN,CA,94508,NAPA
CA-W-23603,"K.J. GELLIS, LLC",BLUE MONSTER,1181 LAS POSADAS RD,ANGWIN,CA,94508,NAPA
CA-W-16913,"LAIL VINEYARDS, LLC",LAIL VINEYARDS,335 WEST LN,ANGWIN,CA,94508,NAPA
CA-W-22952,LM SHELTON VINEYARD LLC,CAMI VINEYARDS,2075 SUMMIT LAKE DR,ANGWIN,CA,94508,NAPA
CA-W-22480,MAXEM WINES LLC,MAXEM WINES,335 WEST LN,ANGWIN,CA,94508,NAPA
CA-W-22774,MCSCHERK GRAPE HOLDINGS LLC,ALMACERRO,1181 LAS POSADAS RD,ANGWIN,CA,94508,NAPA
CA-W-16018,METEOR VINEYARD LLC,METEOR VINEYARD,335 WEST LANE,ANGWIN,CA,94508,NAPA
CA-W-2824,NEAL FAMILY VINEYARDS LLC,NEAL FAMILY VINEYARDS,716 LIPARITA RD,ANGWIN,CA,94508,NAPA
CA-W-3085,O'SHAUGHNESSY DEL OSO LLC,,1150 FRIESEN DR,ANGWIN,CA,94508,NAPA
CA-W-21550,"PEACE WATER WINERY, LLC",PEACE WATER WINERY,2000 SUMMIT LAKE DR,ANGWIN,CA,94508,NAPA
CA-W-23578,"PHILLIPS FAMILY FARMING, LLC",VINE HILL RANCH,335 WEST LN,ANGWIN,CA,94508,NAPA
CA-W-21863,"PUAMANA, LLC",ACCENDO CELLARS,335 WEST LN,ANGWIN,CA,94508,NAPA
CA-W-21280,"RED THREAD WINE COMPANY, LLC",RED THREAD WINE COMPANY,2000 SUMMIT LAKE DR,ANGWIN,CA,94508,NAPA
